HOGI,MOD_DATE,PARTNO,PARTNAME,SPEC,PART_QTY,CMT,BRAND,GISONG,SPEED,CAPA,PLANT,ETHRU,CWT_SAFETY,CWT_BALANCE,CAR_BB,CAR_AA,MATERIAL
N29294L24,20260819,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,90,1000,KC01,,N,50,1655,1650,CONCRETE (시멘트)
N28996L01,20260904,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",0,-,NEX_MR,GTLX,60,700,KC01,,N,50,1405,1450,CONCRETE (시멘트)
N29192L05,20260909,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,90,900,KC01,,N,50,1505,1650,CONCRETE (시멘트)
N29381L02,20260908,12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg",10,-,NEWYZER,GTSS_R,90,1350,KR00,,N,50,2155,1510,CONCRETE (시멘트)
N28893L02,20260825,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,90,900,KC01,,N,50,1505,1650,CONCRETE (시멘트)
N28893L06,20260825,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,90,900,KC01,,N,50,1505,1650,CONCRETE (시멘트)
N28893L07,20260825,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,90,1000,KC01,,N,50,1655,1650,CONCRETE (시멘트)
212844L01,20260907,12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg",7,-,NEX_MR,GTLX,105,1150,KR00,,N,50,1605,1860,CONCRETE (시멘트)
212844L03,20260907,12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg",7,-,NEX_MR,GTLX,105,1150,KR00,,N,50,1605,1860,CONCRETE (시멘트)
212844L04,20260907,12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg",7,-,NEX_MR,GTLX,105,1150,KR00,,N,50,1605,1860,CONCRETE (시멘트)
212844L11,20260907,12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg",7,-,NEX_MR,GTLX,105,1150,KR00,,N,50,1605,1860,CONCRETE (시멘트)
212844L13,20260907,12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg",7,-,NEX_MR,GTLX,105,1150,KR00,,N,50,1605,1860,CONCRETE (시멘트)
212844L15,20260907,12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg",7,-,NEX_MR,GTLX,105,1150,KR00,,N,50,1605,1860,CONCRETE (시멘트)
N29455L01,20260910,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",0,-,NEX_MR,GTLX,60,900,KC01,,N,50,1505,1650,CONCRETE (시멘트)
214812L01,20260903,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",0,-,NEX_MRL,GTSS,60,900,KC01,,N,50,1505,1650,CONCRETE (시멘트)
214658L01,20260909,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",0,-,NEX_MRL,GTSS,60,900,KC01,,N,50,1505,1650,CONCRETE (시멘트)
N29524L03,20260914,12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg",7,-,NEX_MR,GTLX,105,1000,KR00,,N,50,1605,1660,CONCRETE (시멘트)
N29524L05,20260914,12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg",7,-,NEX_MR,GTLX,105,1000,KR00,,N,50,1605,1660,CONCRETE (시멘트)
N29524L06,20260914,12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg",7,-,NEX_MR,GTLX,105,1000,KR00,,N,50,1605,1660,CONCRETE (시멘트)
N29524L08,20260914,12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg",7,-,NEX_MR,GTLX,105,1000,KR00,,N,50,1605,1660,CONCRETE (시멘트)
N29524L09,20260914,12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg",7,-,NEX_MR,GTLX,105,1000,KR00,,N,50,1605,1660,CONCRETE (시멘트)
N29524L10,20260914,12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg",7,-,NEX_MR,GTLX,105,1000,KR00,,N,50,1605,1660,CONCRETE (시멘트)
N27800L03,20260915,12000166G0100,BALANCE WEIGHT,"FC150, 10KG",25,-,LUXEN_2,WBLX1_(LXVF),180,1150,KR00,,N,50,1670,1900,FC (주철)
N29426L02,20260914,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,105,1000,KC01,,N,50,1655,1650,CONCRETE (시멘트)
N29426L03,20260914,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,105,1000,KC01,,N,50,1655,1650,CONCRETE (시멘트)
N29426L05,20260914,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,105,1000,KC01,,N,50,1655,1650,CONCRETE (시멘트)
N29426L10,20260914,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,105,1000,KC01,,N,50,1655,1650,CONCRETE (시멘트)
N29426L12,20260914,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,105,1000,KC01,,N,50,1655,1650,CONCRETE (시멘트)
N29426L13,20260914,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,105,1000,KC01,,N,50,1655,1650,CONCRETE (시멘트)
N29426L16,20260914,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,105,1000,KC01,,N,50,1655,1650,CONCRETE (시멘트)
N29426L19,20260914,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,105,1000,KC01,,N,50,1655,1650,CONCRETE (시멘트)
N29426L22,20260914,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,105,1000,KC01,,N,50,1655,1650,CONCRETE (시멘트)
N29426L24,20260914,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,105,1000,KC01,,N,50,1655,1650,CONCRETE (시멘트)
N29426L27,20260914,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,105,1000,KC01,,N,50,1655,1650,CONCRETE (시멘트)
N29426L29,20260914,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,105,1000,KC01,,N,50,1655,1650,CONCRETE (시멘트)
N29469L01,20260908,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,90,900,KC01,,N,50,1505,1650,CONCRETE (시멘트)
N28801L03,20260527,12011121G020A,BALANCE WEIGHT,"CONCRETE,10kg",12,-,LUXEN_1,GTLX_R,120,1150,KR00,,N,50,1835,1660,CONCRETE (시멘트)
213249L09,20260715,12000067G0100,BALANCE WEIGHT,CONCRETE,28,-,LUXEN_2,GTLX_R,105,1350,KR00,,N,50,1855,1860,CONCRETE (시멘트)
213249L09,20260715,12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg",0,-,LUXEN_2,GTLX_R,105,1350,KR00,,N,50,1855,1860,CONCRETE (시멘트)
213249L33,20260914,12000067G0100,BALANCE WEIGHT,CONCRETE,28,-,LUXEN_2,GTLX_R,105,1350,KR00,,N,50,1855,1860,CONCRETE (시멘트)
213249L33,20260914,12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg",0,-,LUXEN_2,GTLX_R,105,1350,KR00,,N,50,1855,1860,CONCRETE (시멘트)
N28798L01,20260720,12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg",10,-,LUXEN_2,WBLX1_(LXVF),60,750,KR00,,N,50,1555,1460,CONCRETE (시멘트)
209888L27,20260915,12000067G0100,BALANCE WEIGHT,CONCRETE,2,-,NEWYZER,WBSS2_(SSVF),120,1150,KR00,Y,N,50,1810,1860,CONCRETE (시멘트)
209888L27,20260915,12000283G0100,BALANCE WEIGHT,CONCRETE,3,-,NEWYZER,WBSS2_(SSVF),120,1150,KR00,Y,N,50,1810,1860,CONCRETE (시멘트)
209888L30,20260630,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,-,NEWYZER,WBSS2_(SSVF),60,1150,KR00,,N,50,1575,1860,CONCRETE (시멘트)
209888L30,20260630,12000284G0100,BALANCE WEIGHT,CONCRETE,2,-,NEWYZER,WBSS2_(SSVF),60,1150,KR00,,N,50,1575,1860,CONCRETE (시멘트)
213021L09,20260910,12011121G0200,BALANCE WEIGHT,"CONCRETE,10kg,G/S",17,-,NEWYZER,GTSS_R,105,1200,KR00,,N,50,1655,1860,CONCRETE (시멘트)
