PID,VERSION,HOUID,NO,ADDR,GOTO,REMARKS,SPEC1,CON1,SPEC2,CON2,SPEC3,CON3,SPEC4,CON4,SPEC5,CON5,SPEC6,CON6,SPEC7,CON7,SPEC8,CON8,SPEC9,CON9,SPEC10,CON10,SPEC11,CON11,SPEC12,CON12,SPEC13,CON13,SPEC14,CON14,SPEC15,CON15,SPEC16,CON16,SPEC17,CON17,SPEC18,CON18,SPEC19,CON19,SPEC20,CON20,SPEC21,CON21,SPEC22,CON22,SPEC23,CON23,SPEC24,CON24,SPEC25,CON25,SPEC26,CON26,SPEC27,CON27,SPEC28,CON28,SPEC29,CON29,SPEC30,CON30,KEY1,VAL1,KEY2,VAL2,KEY3,VAL3,KEY4,VAL4,KEY5,VAL5,KEY6,VAL6,KEY7,VAL7,KEY8,VAL8,KEY9,VAL9,KEY10,VAL10,KEY11,VAL11,KEY12,VAL12,KEY13,VAL13,KEY14,VAL14,KEY15,VAL15,KEY16,VAL16,KEY17,VAL17,KEY18,VAL18,KEY19,VAL19,KEY20,VAL20
EL_PB121C,29,1294425,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OUTPUT,EL_PB121C,OUTPUT,DWG_B121C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EL_PB121C,29,1294425,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EL_PB121C,-,DWG_B121C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EL_PB121C,29,1294425,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EL_PB121C,29,1294425,5,MAIN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EL_PB121C,29,1294425,6,-,STOP,C12100688G01,EL_ABRAND,NEX_MRL,EL_ASPSCD,KC01,EL_ECRL,8,EL_ERPW,2,EL_ACAPA,<=1200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EL_PB121C,C121P012540,DWG_B121C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EL_PB121C,29,1294425,7,-,STOP,C12100688G02,EL_ABRAND,NEX_MRL,EL_ASPSCD,KC01,EL_ECRL,13,EL_ERPW,",3,4",EL_ACAPA,<=1200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EL_PB121C,C121P012541,DWG_B121C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EL_PB121C,29,1294425,8,-,STOP,C12100688G03,EL_ABRAND,NEX_MRL,EL_ASPSCD,KC01,EL_ECRL,8,EL_ERPW,3,EL_ACAPA,<=1200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EL_PB121C,C121P012542,DWG_B121C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EL_PB121C,29,1294425,9,#,STOP,C12100688G04,EL_ABRAND,NEX_MRL,EL_ASPSCD,KC01,EL_ECRL,18,EL_ERPW,",3,4",EL_ACAPA,<=1200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EL_PB121C,C121P012543,DWG_B121C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EL_PB121C,29,1294425,10,-,STOP,C12100688G05,EL_ABRAND,NEX_MRL,EL_ASPSCD,KC01,EL_ECRL,89,EL_ERPW,",3,4",EL_ACAPA,<=1200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EL_PB121C,C121P012544,DWG_B121C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EL_PB121C,29,1294425,11,-,STOP,C12100688G06,EL_ABRAND,NEX_MRL,EL_ASPSCD,KC01,EL_ECRL,82,EL_ERPW,3,EL_ACAPA,<=1200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EL_PB121C,C121P012545,DWG_B121C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
