PARENTNO,PROD_STATUS,PROD_MODDATE,BRAND,GISONG,EL_ASPD,EL_ACAPA,ASPSCD,PARTNO,PARTNAME,SPEC,PART_QTY,CMT,BLOCKNO
207881L02,RLS,2026-06-12,IXEL,WBHS_(HSVF),210,1200,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
210537L06,RLS,2026-07-15,IXEL,WBHS_(HSVF),210,1200,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
210559L09,RLS,2026-06-18,IXEL,WBHS_(HSVF),240,1600,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
209587L08,RLS,2026-07-21,IXEL,WBHS_(HSVF),240,1200,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
210537L37,RLS,2026-07-15,IXEL,WBHS_(HSVF),210,1000,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
209579L02,RLS,2026-01-19,IXEL,WBHS_(HSVF),150,1800,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
211677L03,RLS,2026-08-04,LUXEN_2,WBLX1_(LXVF),180,1350,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
208125L04,RLS,2026-01-08,LUXEN_2,WBLX1_(LXVF),180,1200,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
011637NC209-013364L36,RLS,2026-07-22,LUXEN_1,WBLX1_(LXVF),90,1600,미지정,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
211370L20,RLS,2026-01-08,LUXEN_2,WBLX1_(LXVF),180,1200,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
210537L39,RLS,2026-07-15,IXEL,WBHS_(HSVF),210,1000,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
099993L07,REJ,2026-04-09,IXEL,WBHS_(HSVF),210,1600,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
210537L40,RLS,2026-07-15,IXEL,WBHS_(HSVF),210,1200,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
207547L66,RLS,2026-01-09,IXEL,WBHS_(HSVF),150,1800,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
N29457L01,RLS,2026-09-04,LUXEN_1,WBLX1_(LXVF),90,1350,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
E15864L13,RLS,2026-08-19,LUXEN_2,WBLX1_(LXVF),90,1800,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
209248L09,RLS,2026-07-14,IXEL,WBHS_(HSVF),180,1800,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
208187L02,RLS,2026-07-20,LUXEN_2,WBLX1_(LXVF),180,1200,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
211383L83,RLS,2026-08-25,LUXEN_2,WBLX1_(LXVF),105,2000,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
211370L52,RLS,2026-04-10,LUXEN_2,WBLX1_(LXVF),180,1200,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
M21024NC200-M21024L06,RLS,2026-07-24,NOBRAND,WBLX1_(LXVF),120,1350,미지정,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
210537L04,RLS,2026-07-15,IXEL,WBHS_(HSVF),210,1000,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
208877L23,RLS,2026-01-15,LUXEN_2,WBLX1_(LXVF),180,1600,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
209579L09,RLS,2026-01-19,IXEL,WBHS_(HSVF),180,1200,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
211370L07,RLS,2026-02-06,LUXEN_2,WBLX1_(LXVF),180,1200,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
011637NC209-011637L31,RLS,2026-07-21,LUXEN_1,WBLX1_(LXVF),105,1600,미지정,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
208877L19,RLS,2026-01-28,LUXEN_2,WBLX1_(LXVF),180,1600,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
207839L04,RLS,2026-01-09,IXEL,WBHS_(HSVF),240,1800,미지정,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
212237L17,RLS,2026-01-08,LUXEN_2,WBLX1_(LXVF),180,1200,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
E09992L13,RLS,2026-08-11,IXEL,WBHS_(HSVF),240,1350,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
M21024NC200-M21024L04,RLS,2026-07-24,NOBRAND,WBLX1_(LXVF),120,1600,미지정,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
N26703L04,RLS,2026-05-08,LUXEN_2,WBLX1_(LXVF),105,1600,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
209582L10,RLS,2026-05-20,IXEL,WBHS_(HSVF),210,1350,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
207881L06,RLS,2026-06-12,IXEL,WBHS_(HSVF),210,1150,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
211370L17,RLS,2026-01-08,LUXEN_2,WBLX1_(LXVF),180,1200,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
212237L16,RLS,2026-01-08,LUXEN_2,WBLX1_(LXVF),180,1200,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
211383L78,RLS,2026-08-18,LUXEN_2,WBLX1_(LXVF),105,2000,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
211677L04,RLS,2026-08-03,LUXEN_2,WBLX1_(LXVF),180,1600,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
212237L44,RLS,2026-01-05,LUXEN_2,WBLX1_(LXVF),180,1200,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
